name,year founded,industry,size range,locality,country,current employee estimate
the goodyear tire & rubber company,1898.0,automotive,10001+,"akron, ohio, united states",united states,10893
fifth third bank,1858.0,financial services,10001+,"cincinnati, ohio, united states",united states,10879
wells fargo home mortgage,,banking,10001+,"des moines, iowa, united states",united states,10853
symantec,1982.0,computer software,10001+,"mountain view, california, united states",united states,10830
unicef,1946.0,non-profit organization management,10001+,"new york, new york, united states",united states,10829
uc berkeley,1868.0,higher education,10001+,"berkeley, california, united states",united states,10808
"starwood hotels & resorts worldwide, inc.",1980.0,hospitality,10001+,"stamford, connecticut, united states",united states,10785
quest diagnostics,1967.0,hospital & health care,10001+,"madison, new jersey, united states",united states,10784
sam's club,,retail,10001+,"bentonville, arkansas, united states",united states,10738
rutgers university,,higher education,10001+,"new brunswick, new jersey, united states",united states,10717
ge capital,,financial services,10001+,"norwalk, connecticut, united states",united states,10692
westpac,1817.0,banking,10001+,"new york, new york, united states",united states,10682
northern trust corporation,1889.0,financial services,10001+,"chicago, illinois, united states",united states,10672
university of wisconsin-madison,,higher education,10001+,"madison, wisconsin, united states",united states,10627
general mills,1928.0,consumer goods,10001+,"minneapolis, minnesota, united states",united states,10578
aim,1962.0,retail,10001+,"bentonville, arkansas, united states",united states,10577
unisys,,information technology and services,10001+,"blue bell, pennsylvania, united states",united states,10567
burger king corporation,1954.0,restaurants,10001+,"miami, florida, united states",united states,10547
tetra pak,,packaging and containers,10001+,"hull, iowa, united states",united states,10536
banner health,1999.0,hospital & health care,10001+,"phoenix, arizona, united states",united states,10478
upmc,1986.0,hospital & health care,10001+,"pittsburgh, pennsylvania, united states",united states,10468
american family insurance,1927.0,insurance,10001+,"madison, wisconsin, united states",united states,10465
aerotek,1983.0,staffing and recruiting,10001+,"hanover, maryland, united states",united states,10421
m&t bank,1856.0,financial services,10001+,"buffalo, new york, united states",united states,10393
visa,1958.0,information technology and services,10001+,"san francisco, california, united states",united states,10392
marsh,,insurance,10001+,"new york, new york, united states",united states,10231
cintas,1968.0,facilities services,10001+,"cincinnati, ohio, united states",united states,10221
centers for disease control and prevention,1946.0,government administration,10001+,"atlanta, georgia, united states",united states,10192
applied materials,1967.0,semiconductors,10001+,"santa clara, california, united states",united states,10118
ebay,1995.0,internet,10001+,"san jose, california, united states",united states,10115
first data corporation,1971.0,financial services,10001+,"atlanta, georgia, united states",united states,10109
charles schwab,1973.0,financial services,10001+,"san francisco, california, united states",united states,10079
parker hannifin,1918.0,mechanical or industrial engineering,10001+,"cleveland, ohio, united states",united states,10041
advocare,1993.0,"health, wellness and fitness",10001+,"plano, texas, united states",united states,10031
the world bank,1944.0,international trade and development,10001+,"washington, district of columbia, united states",united states,10027
fairfax county public schools,,primary/secondary education,10001+,"falls church, virginia, united states",united states,10012
procter & gamble,1837.0,consumer goods,10001+,"cincinnati, ohio, united states",united states,10005
us forest service,1905.0,government administration,10001+,"washington, district of columbia, united states",united states,9989
victoria's secret,1977.0,retail,10001+,"reynoldsburg, ohio, united states",united states,9975
mastercard,1966.0,information technology and services,10001+,"purchase, new york, united states",united states,9974
waste management,1894.0,environmental services,10001+,"houston, texas, united states",united states,9927
massachusetts general hospital,1811.0,hospital & health care,10001+,"boston, massachusetts, united states",united states,9910
world vision,1950.0,non-profit organization management,10001+,"monrovia, california, united states",united states,9868
syntel,1980.0,information technology and services,10001+,"troy, michigan, united states",united states,9868
