name,domain,year founded,industry,size range,locality,country
ceva logistics,cevalogistics.com,2006.0,logistics and supply chain,10001+,"hoofddorp, north holland, netherlands",united states
"nbcuniversal media, llc",nbcuniversal.com,1926.0,entertainment,10001+,"new york, new york, united states",united states
university of phoenix,phoenix.edu,1976.0,higher education,10001+,"tempe, arizona, united states",united states
sutherland global services,sutherlandglobal.com,1986.0,outsourcing/offshoring,10001+,"rochester, new york, united states",united states
harvard university,harvard.edu,,higher education,10001+,"cambridge, massachusetts, united states",united states
mary kay cosmetics,kirstirice.com,,professional training & coaching,10001+,"albany, new york, united states",united states
ucla,ucla.edu,1919.0,higher education,10001+,"los angeles, california, united states",united states
international paper,internationalpaper.com,,paper & forest products,10001+,"memphis, tennessee, united states",united states
geico,geico.jobs,1936.0,insurance,10001+,"chevy chase, maryland, united states",united states
ch2m hill,ch2m.com,1946.0,civil engineering,10001+,"englewood, colorado, united states",united states
kellogg company,kelloggcompany.com,1906.0,consumer goods,10001+,"battle creek, michigan, united states",united states
purdue university,purdue.edu,1869.0,higher education,10001+,"west lafayette, indiana, united states",united states
columbia university in the city of new york,columbia.edu,,higher education,10001+,"new york, new york, united states",united states
chase,chase.com,,financial services,10001+,"new york, new york, united states",united states
providence health & services,providence.org,1859.0,hospital & health care,10001+,"renton, washington, united states",united states
university of illinois at urbana-champaign,illinois.edu,1867.0,higher education,10001+,"champaign, illinois, united states",united states
whirlpool corporation,whirlpoolcorp.com,1911.0,consumer goods,10001+,"benton harbor, michigan, united states",united states
university of southern california,usc.edu,1880.0,research,10001+,"los angeles, california, united states",united states
rite aid,riteaid.com,1968.0,retail,10001+,"harrisburg, pennsylvania, united states",united states
state of california,stateofcalifornia.gov,1850.0,government administration,10001+,"sacramento, california, united states",united states
vanguard,vanguard.com,1975.0,financial services,10001+,"valley forge, pennsylvania, united states",united states
enterprise holdings,enterpriseholdings.com,,"leisure, travel & tourism",10001+,"st. louis, missouri, united states",united states
leidos,leidos.com,1969.0,information technology and services,10001+,"reston, virginia, united states",united states
blackrock,blackrock.com,1988.0,financial services,10001+,"new york, new york, united states",united states
mckesson,mckesson.com,1833.0,hospital & health care,10001+,"san francisco, california, united states",united states
robert bosch,bosch.us,1906.0,mechanical or industrial engineering,10001+,"farmington hills, michigan, united states",united states
us army corps of engineers,,,military,10001+,"washington, district of columbia, united states",united states
united states army reserve,,1908.0,military,10001+,"fort bragg, north carolina, united states",united states
regions bank,regions.com,1971.0,banking,10001+,"birmingham, alabama, united states",united states
the university of texas at austin,utexas.edu,1883.0,higher education,10001+,"austin, texas, united states",united states
ppd,ppd.com,1985.0,pharmaceuticals,10001+,"wilmington, north carolina, united states",united states
grant thornton llp,grantthornton.com,1924.0,accounting,10001+,"chicago, illinois, united states",united states
the hartford,thehartford.com,1810.0,financial services,10001+,"hartford, connecticut, united states",united states
nasa,nasa.gov,1958.0,aviation & aerospace,10001+,"washington, district of columbia, united states",united states
new york university,nyu.edu,1831.0,higher education,10001+,"new york, new york, united states",united states
university of pennsylvania,upenn.edu,,higher education,10001+,"philadelphia, pennsylvania, united states",united states
paypal,paypal.com,1998.0,internet,10001+,"san jose, california, united states",united states
the goodyear tire & rubber company,goodyear.com,1898.0,automotive,10001+,"akron, ohio, united states",united states
fifth third bank,53.com,1858.0,financial services,10001+,"cincinnati, ohio, united states",united states
