handle,name,industry,size,state,founded,city
company/amcoatindustrial,"AmCoat Industrial, LLC",chemical manufacturing,201-500,Florida,2000,Destin
company/amdocscala,Amdocs Cala,telecommunications,10K+,Missouri,1982,Chesterfield
company/ameigr,AMEIGR - Association Marocaine des Elèves Ingénieurs en Génie Rural,non-profit organizations,51-200,Massachusetts,1999,
company/amelicor,Amelicor,dairy,201-500,Utah,1954,Provo
company/amen-professional-business-group,Amen Professional Business Group,it services and it consulting,51-200,Maryland,2011,Silver Spring
company/america-green,America Green,renewable energy semiconductor manufacturing,51-200,New York,2015,New York
company/american-achievement-group-holding-corp.,American Achievement Group Holding Corp.,retail luxury goods and jewelry,1K-5K,Texas,2006,Austin
company/american-anchor,American Anchor,construction,51-200,,1990,Usa
company/american-business-bank,American Business Bank,banking,51-200,California,1998,Los Angeles
company/american-carbide-tools,American Carbide Tools,defense & space,201-500,Illinois,1985,Chicago
company/american-coach-limousine,American Coach Limousine,truck transportation,51-200,Illinois,1999,Oak Brook
company/american-echnology-experts-inc,American Technology Experts Inc,it services and it consulting,51-200,Texas,2019,Plano
company/american-fire-sprinklers-llc,"American Fire Sprinklers, LLC",construction,51-200,Tennessee,2005,Chattanooga
company/american-geophysical-union,American Geophysical Union,non-profit organizations,51-200,District of Columbia,1919,Washington
company/american-honda-motor-company-inc-,"American Honda Motor Company, Inc.",motor vehicle manufacturing,10K+,California,1959,Torrance
company/american-indian-health-&-services-corporation,American Indian Health & Services,medical practices,51-200,California,1994,Santa Barbara
company/american-materials-technology-partnership,American Materials Technology Partnership,semiconductor manufacturing,51-200,Missouri,2021,Rolla
company/american-nursing-care,American Nursing Care,hospitals and health care,1K-5K,Ohio,1976,Milford
company/american-refugee-committee,American Refugee Committee,international affairs,1K-5K,Minnesota,1979,Minneapolis
company/american-society-of-estimators-sacramento-chapter,"ASPE, Sacramento Chapter 11",construction,51-200,California,1956,Sacramento
company/american-specialty-health,American Specialty Health,wellness and fitness services,1K-5K,Indiana,1987,Carmel
company/american-state-bancshares-inc-,"American State Bancshares, Inc.",banking,51-200,Kansas,2001,Wichita
company/american-vassal-inc,American Vassal,it services and it consulting,51-200,Texas,2013,Houston
company/americanstar-us,Americanstar US,manufacturing,51-200,Texas,2020,Houston
company/americare-respiratory-svc,Americare Respiratory Services,medical equipment manufacturing,51-200,California,2003,Santa Ana
company/ameriteamrealty,AmeriTeam Realty,real estate,201-500,Florida,2007,Orlando
company/ameritech-college,Ameritech College of Healthcare,higher education,51-200,Utah,1979,Draper
company/amet-inc.,AMET® Inc.,industrial machinery manufacturing,51-200,Idaho,1989,Rexburg
company/amg-vanadium-llc,AMG Vanadium LLC,mining,51-200,Ohio,1952,Cambridge
company/amicus-bangor-me,"Amicus, Bangor, ME",non-profit organizations,51-200,Maine,1971,Bangor
company/amphenol-optimize,Amphenol Optimize,"appliances, electrical, and electronics manufacturing",1K-5K,Arizona,1984,Nogales
company/amplify-fw,AMPLIFY FW,non-profit organizations,51-200,Texas,1980,Fort Worth
company/amt,"Advanced Media Technologies, Inc.",telecommunications,51-200,Florida,1996,Deerfield Beach
company/amt-machine-systems,Absolute Machine Tools,machinery manufacturing,51-200,Ohio,1988,Lorain
company/amtrac-of-maryland-railroad-contractors-inc-,Amtrac Of Maryland Railroad Contractors Inc.,truck transportation,51-200,Maryland,1985,Hagerstown
company/amusenow,Amuse,retail,201-500,California,2020,Los Angeles
company/analytical-food-laboratories,"AFL - Analytical Food Laboratories, INC.",biotechnology research,51-200,Texas,1992,Grand Prairie
company/anamet-electrical-inc,"ANAMET Electrical, Inc.","appliances, electrical, and electronics manufacturing",51-200,Illinois,1908,Mattoon
company/ancora-pain-recovery,Ancora Pain Recovery,medical practices,51-200,Georgia,1999,Athens
company/anderson-plumbing-heating-and-air-conditioning-inc.,"Anderson Plumbing, Heating & Air Conditioning, Inc.",consumer services,201-500,California,1978,El Cajon
company/anderson-rowe-&-buckley-inc.,"Anderson, Rowe & Buckley, Inc.",construction,51-200,California,1921,San Francisco
company/andersonperry,Anderson Perry & Associates,civil engineering,51-200,Oregon,1975,La Grande
company/andover-healthcare-inc-,"Andover Healthcare, Inc.",hospitals and health care,201-500,Massachusetts,1976,Salisbury
company/andrew-high-school,Victor J. Andrew High School,higher education,51-200,Illinois,1977,Tinley Park
company/angels-envy,Angel's Envy Distillery,law practice,51-200,Kentucky,1963,Greenup
company/angelsofcare,Angels of Care Pediatric Home Health,medical practices,1K-5K,Texas,2000,Sherman
company/annuity-systems-inc,Annuity Systems,information services,51-200,California,2006,Oakland
company/another-life-company,Another Life Company,advertising services,51-200,Massachusetts,2013,
company/ansco-machine-company,Ansco Machine Company,automation machinery manufacturing,51-200,Ohio,1991,Cuyahoga Falls
company/antelope-valley-chevrolet-inc,"ANTELOPE VALLEY CHEVROLET, INC",retail,51-200,California,2010,Lancaster
company/anxlife,ANX Home Healthcare and Hospice Care,hospitals and health care,51-200,California,2007,Burlingame
company/anybabycan,Any Baby Can,non-profit organizations,51-200,Texas,1979,Austin
